Which of the following is NOT a fluid measurement|px
The mobile version of your web page should have the same capabilities of every other version of your site.|True
The fluid measurement % can only be used on non-textual elements|False
When defining a measurement whitespace cannot appear between the number and the unit unless the value is 0.|True
Which of the following measurements is relative to the size of its parent element?|em
If you have an element with the font size of 32px, and a child element inside with a a font-size set to 2em, what is the font size of the child in px? (Provide a number only, not the measurement too.)|64
HTML5 introduced a method to let web designers take control over the viewport. The new tag is the ______ tag.|meta
Which of the following should you NOT do when creating a responsive page?|None of the above
You can use media queries to change the layout of your page when the orientation of a mobile device changes from portrait to landscape.|True
Consider the following CSS rules: 8 9 10 } } What is the width of any div elements on a 350px screen?|80%
Consider the following CSS rules: 8 } Which of the following is a true statement?|The div elements will have a width of 25% only when the page is printed
Consider the following CSS rules: 9 } What is the width of any div elements on a 750px screen?|80%
Consider the following CSS rules: 9 } What is the width of any div elements on a 750px screen?|25%
Consider the following code using Bootstrap: 1 <div class = "col-sm-2 col-lg-4"> In a lg viewport the div will be _____ columns wide.|4
Bootstrap is mobile-first.|True
Every major web browser supports reduce-motion, including Chrome, Edge, Firefox, Safari, and Opera.|True
The best way to improve accessibility on your page is to eliminate all animation.|False
The possible values for the prefers-contrast CSS media feature include more, less, and custom. (Not sure? Here is a link to help you find the answer - prefers-contrast - CSS: Cascading Style Sheets | MDN .)|True
The possible values for the prefers-color-scheme CSS media feature include light and dark.|True
