Which of the following is NOT an option for specifying a color in CSS3?|binary
If your body tag uses the style attribute style="text-align:center", you can overwrite that property by using the CSS3 rule: body{ text-align: left; }|False
What is wrong with the following code? 5 }|There is a missing semicolon
Assume the following rule is the only one that styles the body element: 1 2 3 body{ font-family: Cursive, Helvetica, Verdana; } What happens if the browser doesn't support any of these font families?|The text will be displayed in the default browser font-family
The browser defaults override rules specified in an external stylesheet.|False
Using the code below, will the body of the page have the background-color defined in the file style.css or the background color defined in the <style> tag? 1 2 3 4 5 6 7 8 9 10 <head> <meta charset = "UTF-8"> <title>Test code</title> <link rel "stylesheet" href = "style.css"> <style> body{ background-color: #44CCDD; } </style> </head>|<style>
Internal styling (rules specified in the <head> section) override rules specified with the style attribute in a tag.|False
The default display value for paragraphs is:|block
The default display value for <span> is:|inline
A block element takes up the full width of its parent, even if the content is smaller than the parent. So two block elements at the same time will not be side-by-side.|True
Inline elements take up the full width of the browser, even if the content is smaller than the browser size.|False
Which CSS3 property is used to center text? (Provide only the property, not the value!)|text-align
Which of the following is the best way to convey that your text has special meaning?|Using semantic tags in addition to color and/or font.
What is the correct HTML for referring to an external style sheet?|<link rel="stylesheet" href="mystyle.css">
What is the correct HTML for referring to an external style sheet stored in a subfolder called css?|<link rel="stylesheet" href="css/mystyle.css">
The style tag and the style attribute are interchangeable -- this means that you accomplish the same effect with both.|False
Using an external stylesheet allows you to update the style of many pages with only a few lines of code.|True
When creating a CSS rule you need to specify the selector, _______, and value.|property
You can use the Inspect Element tool in your browser to see your CSS rules.|True
CSS stands for Cascading Style Sheets. This is because the webpage style can come from many different sources.|True
What is wrong with the following code? 1 2 3 4 5 body{ color: #000000; background-color:#FFFFFF font-family: Times, Arial, Cursive; }|There is a missing semicolon
Assume the following rule is the only one that styles the body element: 1 2 3 body{ font-family: Cursive, Helvetica, Verdana; } What happens if the browser doesn't support Cursive or Helvetica?|The text will be displayed in Verdana
Which CSS3 property is used to center text? (We are only asking about the property name; not the value.)|text-align
Using the style attribute allows you to style many pages with only a few lines of code.|False
When creating a CSS rule you need to specify the selector, property, and _______.|value
